"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0,0,0,0,0,0,0,0
"2",19,22,30,16,33,47,6,22,39,11
"3",46,27,56,25,44,75,16,41,56,19
"4",61,24,85,48,104,110,29,41,72,17
"5",82,44,130,48,108,170,42,64,111,32
"6",123,47,156,68,205,237,41,105,181,41
"7",132,58,271,101,302,339,62,144,240,35
"8",219,69,389,122,442,486,93,177,397,33
"9",300,112,553,162,712,668,93,292,565,49
"10",383,110,826,181,1172,951,125,402,827,44
"11",495,115,1252,267,1661,1333,142,549,1208,59
"12",654,127,1829,348,2643,1917,187,691,1797,58
"13",845,146,2655,429,3917,2690,230,1033,2612,76
"14",1144,173,3843,581,6129,3784,265,1355,3854,82
"15",1527,202,5757,654,9467,5384,326,1997,5490,97
"16",1971,223,8433,832,14245,7594,439,2928,8107,123
"17",2544,256,12346,1017,22122,10677,539,4112,12110,143
"18",3362,325,18566,1330,33733,15120,655,5775,17092,156
"19",4347,366,27448,1589,52288,21872,873,7767,25152,223
"20",5892,429,40240,2079,79359,30699,966,11310,36881,224
"21",7408,509,59849,2561,121761,43992,1189,15621,53543,254
"22",9850,560,89169,3260,184516,62723,1384,22230,78225,345
"23",12881,670,131108,4050,281884,89051,1762,31339,114187,344
"24",17111,739,194784,5104,428256,126767,2106,44176,166974,445
"25",22745,946,287811,6497,645167,181375,2605,62053,243193,462
"26",29314,1051,427875,8357,965726,257506,3363,87670,356875,568
"27",39095,1248,629868,10800,1426112,362789,3942,124138,520308,665
"28",51122,1396,929040,13964,2056914,511480,4878,176449,754080,802
"29",68308,1677,1361273,17297,2881367,719557,6107,249604,1087396,885
"30",89314,1989,1983333,21732,3877584,999909,7447,352563,1555429,1081
"31",117205,2364,2847082,27961,4945603,1370094,9072,496778,2191301,1255
"32",153966,2809,4016865,35535,5965953,1845010,11387,701291,3034543,1488
"33",201687,3221,5530644,45002,6828701,2424464,14224,983071,4091093,1759
"34",265733,3933,7372744,57531,7555438,3092209,17455,1375299,5339070,2109
"35",347625,4688,9446890,73180,8243277,3803396,21946,1911320,6698815,2398
