"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0,0,0,0,0,0,0,0
"2",270,179,244,224,178,249,195,156,167,180
"3",488,296,470,415,258,456,347,288,377,338
"4",707,420,726,630,387,704,556,378,530,452
"5",1036,562,1202,916,465,1054,740,531,722,629
"6",1645,760,1887,1311,582,1525,1049,628,1021,883
"7",2391,978,2773,1886,728,2215,1403,835,1352,1234
"8",3643,1251,4184,2651,945,3103,1932,1032,1898,1781
"9",5200,1706,6296,3844,1064,4553,2645,1265,2647,2282
"10",7955,2112,9488,5470,1378,6695,3687,1656,3713,3145
"11",11739,2857,14237,7972,1689,9262,5065,2077,4890,4296
"12",17611,3723,21593,11073,2042,13320,7063,2642,6845,5848
"13",26077,4872,32503,16255,2551,19263,9846,3260,9324,7893
"14",38758,6260,49406,23359,3147,27462,13664,4157,12899,10688
"15",58244,8153,74383,33631,3864,39553,19100,5419,17767,14365
"16",87398,10712,111717,48162,4777,56916,26474,6981,24330,19593
"17",129232,14284,168807,69304,6102,80814,36484,8611,33630,26436
"18",193765,18355,256082,100844,7457,116100,51089,11052,45842,35940
"19",287958,24203,385410,145708,9364,165808,71415,14138,62894,48753
"20",429093,31683,580746,210864,11667,237273,99641,18394,87752,66282
"21",637782,41449,869427,303932,14255,337775,137837,23320,119866,90488
"22",939099,54908,1296062,440920,17990,480565,192572,30026,164623,123347
"23",1385418,71697,1913011,633899,22335,680268,269402,38187,226624,167458
"24",2015759,95085,2790150,913306,27594,957427,373241,49399,311008,227010
"25",2895444,124520,3993825,1303120,34773,1336063,516555,64090,425948,309810
"26",4087340,164234,5566446,1840863,43463,1842676,713040,81646,581247,416993
"27",5614716,214934,7515577,2568851,54452,2497514,974350,105002,791423,564467
"28",7469446,282772,9786622,3513619,68542,3301932,1318569,135447,1068237,755903
"29",9584592,368895,12265949,4691727,85570,4259468,1758302,175319,1436799,1009675
"30",11786205,481203,14799718,6048837,107461,5320171,2299435,225883,1910453,1333988
"31",13940533,624425,17157669,7544411,133878,6440380,2947353,290083,2509202,1744000
"32",15872349,805127,19042431,9068080,168144,7574187,3671610,373008,3239368,2253923
"33",17509944,1027496,20140125,10595980,210504,8712413,4462931,480008,4103057,2846485
"34",18749210,1299534,20355738,12133055,263504,9851928,5300492,616230,5078348,3519353
"35",19487356,1626206,19861861,13698124,329661,11002590,6193370,789156,6120366,4236908
"36",19588609,1999567,18970072,15260092,411067,12159639,7203258,1006091,7182222,4951001
